time,x,v,u
0.000000000000e+00,1.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.000000000000e-02,9.998013379924e-01,-1.979907701766e-02,1.399954267115e-02
4.000000000000e-02,9.992107400748e-01,-3.919269916079e-02,2.799634147675e-02
6.000000000000e-02,9.982363680248e-01,-5.817563999993e-02,4.198765308905e-02
8.000000000000e-02,9.968864856521e-01,-7.674292283620e-02,5.597073525576e-02
1.000000000000e-01,9.951694537991e-01,-9.488982116516e-02,6.994284733753e-02
1.200000000000e-01,9.930937253332e-01,-1.126118590276e-01,8.390125084514e-02
1.400000000000e-01,9.906678401338e-01,-1.299048112473e-01,9.784320997618e-02
1.600000000000e-01,9.879004200745e-01,-1.467647035573e-01,1.117659921513e-01
1.800000000000e-01,9.848001640050e-01,-1.631878126136e-01,1.256668685497e-01
2.000000000000e-01,9.813758427337e-01,-1.791706658992e-01,1.395431146442e-01
2.200000000000e-01,9.776362940121e-01,-1.947100415174e-01,1.533920107350e-01
2.400000000000e-01,9.735904175266e-01,-2.098029678755e-01,1.672108424827e-01
2.600000000000e-01,9.692471698954e-01,-2.244467232610e-01,1.809969014406e-01
2.800000000000e-01,9.646155596767e-01,-2.386388353086e-01,1.947474855852e-01
3.000000000000e-01,9.597046423877e-01,-2.523770803619e-01,2.084598998461e-01
3.200000000000e-01,9.545235155379e-01,-2.656594827279e-01,2.221314566340e-01
3.400000000000e-01,9.490813136779e-01,-2.784843138276e-01,2.357594763675e-01
3.600000000000e-01,9.433872034665e-01,-2.908500912419e-01,2.493412879983e-01
3.800000000000e-01,9.374503787582e-01,-3.027555776548e-01,2.628742295349e-01
4.000000000000e-01,9.312800557123e-01,-3.141997796951e-01,2.763556485641e-01
4.200000000000e-01,9.248854679264e-01,-3.251819466768e-01,2.897829027709e-01
4.400000000000e-01,9.182758615963e-01,-3.357015692405e-01,3.031533604564e-01
4.600000000000e-01,9.114604907039e-01,-3.457583778956e-01,3.164644010537e-01
4.800000000000e-01,9.044486122347e-01,-3.553523414664e-01,3.297134156416e-01
5.000000000000e-01,8.972494814288e-01,-3.644836654408e-01,3.428978074555e-01
5.200000000000e-01,8.898723470638e-01,-3.731527902261e-01,3.560149923968e-01
5.400000000000e-01,8.823264467757e-01,-3.813603893097e-01,3.690623995394e-01
5.600000000000e-01,8.746210024156e-01,-3.891073673288e-01,3.820374716331e-01
5.800000000000e-01,8.667652154473e-01,-3.963948580493e-01,3.949376656054e-01
6.000000000000e-01,8.587682623855e-01,-4.032242222552e-01,4.077604530596e-01
6.200000000000e-01,8.506392902772e-01,-4.095970455504e-01,4.205033207703e-01
6.400000000000e-01,8.423874122282e-01,-4.155151360741e-01,4.331637711763e-01
6.600000000000e-01,8.340217029759e-01,-4.209805221309e-01,4.457393228699e-01
