time,x,y
0.000000000000e0,1.000000000000e1,5.000000000000e0
5.000000000000e-2,9.545869105529e0,5.146442614078e0
1.000000000000e-1,9.086405968849e0,5.285079874483e0
1.500000000000e-1,8.625851056714e0,5.414973484714e0
2.000000000000e-1,8.168163736324e0,5.535329249603e0
2.500000000000e-1,7.716943267295e0,5.645509380114e0
3.000000000000e-1,7.275370926301e0,5.745038390310e0
3.500000000000e-1,6.846173872530e0,5.833602857241e0
4.000000000000e-1,6.431609825775e0,5.911045686806e0
4.500000000000e-1,6.033470401950e0,5.977355798051e0
5.000000000000e-1,5.653100105459e0,6.032654293813e0
5.500000000000e-1,5.291427526043e0,6.077178231785e0
6.000000000000e-1,4.949005192488e0,6.111263063435e0
6.500000000000e-1,4.626054727350e0,6.135324692234e0
7.000000000000e-1,4.322514341254e0,6.149841942969e0
7.500000000000e-1,4.038086217813e0,6.155340054428e0
8.000000000000e-1,3.772281896744e0,6.152375628340e0
8.500000000000e-1,3.524464305705e0,6.141523302458e0
9.000000000000e-1,3.293885581097e0,6.123364274276e0
9.500000000000e-1,3.079720231811e0,6.098476688154e0
1.000000000000e0,2.881093528859e0,6.067427813322e0
1.050000000000e0,2.697105249245e0,6.030767881070e0
1.100000000000e0,2.526849072349e0,5.989025413027e0
1.150000000000e0,2.369428033062e0,5.942703854421e0
1.200000000000e0,2.223966490669e0,5.892279322252e0
1.250000000000e0,2.089619088499e0,5.838199284542e0
1.300000000000e0,1.965577167799e0,5.780881999752e0
1.350000000000e0,1.851073069393e0,5.720716562356e0
1.400000000000e0,1.745382715981e0,5.658063419322e0
1.450000000000e0,1.647826821963e0,5.593255241364e0
1.500000000000e0,1.557771030534e0,5.526598051170e0
1.550000000000e0,1.474625232252e0,5.458372527809e0
1.600000000000e0,1.397842276975e0,5.388835421742e0
1.650000000000e0,1.326916253048e0,5.318221028194e0
1.700000000000e0,1.261380474200e0,5.246742678080e0
1.750000000000e0,1.200805285895e0,5.174594215311e0
1.800000000000e0,1.144795778515e0,5.101951437280e0
1.850000000000e0,1.092989474503e0,5.028973481883e0
1.900000000000e0,1.045054039914e0,4.955804149638e0
1.950000000000e0,1.000685057278e0,4.882573153669e0
2.000000000000e0,9.596038858365e-1,4.809397293557e0
2.050000000000e0,9.215556266252e-1,4.736381551559e0
2.100000000000e0,8.863072031684e-1,4.663620111586e0
2.150000000000e0,8.536455633868e-1,4.591197302687e0
2.200000000000e0,8.233760044214e-1,4.519188469793e0
